frame,sim_time,id,throttle,steer,brake,ego_x,ego_y,ego_vx,ego_vy,ego_ax,ego_ay,ego_yaw,sv1_x,sv1_y,sv1_vx,sv1_vy,sv1_ax,sv1_ay,sv1_yaw,sv2_x,sv2_y,sv2_vx,sv2_vy,sv2_ax,sv2_ay,sv2_yaw,sv3_x,sv3_y,sv3_vx,sv3_vy,sv3_ax,sv3_ay,sv3_yaw,sv4_x,sv4_y,sv4_vx,sv4_vy,sv4_ax,sv4_ay,sv4_yaw,sv5_x,sv5_y,sv5_vx,sv5_vy,sv5_ax,sv5_ay,sv5_yaw,sv6_x,sv6_y,sv6_vx,sv6_vy,sv6_ax,sv6_ay,sv6_yaw
0,5.397382318973541,144,1.0,0.0,0.0,-195.0904083251953,-69.9999771118164,0.0,0.0,0.0,0.0,89.98419189453125,-191.55123901367188,72.00001525878906,0.0,0.0,0.0,0.0,89.98419189453125,-188.14358520507812,78.03120422363281,0.0,0.0,0.0,0.0,-173.68646240234375,-191.5531768798828,65.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.55511474609375,58.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.5766143798828,-19.99997901916504,0.0,0.0,0.0,0.0,89.98419189453125,-188.07386779785156,-9.999979972839355,0.0,0.0,0.0,0.0,-90.01578521728516
1,5.417382318526506,144,1.0,0.0,0.0,-195.0904083251953,-69.9999771118164,0.0,0.0,0.0,0.0,89.98419189453125,-191.55123901367188,72.00001525878906,0.0,0.0,0.0,0.0,89.98419189453125,-188.14358520507812,78.03120422363281,0.0,0.0,0.0,0.0,-173.68646240234375,-191.5531768798828,65.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.55511474609375,58.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.5766143798828,-19.99997901916504,0.0,0.0,0.0,0.0,89.98419189453125,-188.07386779785156,-9.999979972839355,0.0,0.0,0.0,0.0,-90.01578521728516
2,5.437382318079472,144,1.0,0.0,0.0,-195.0904083251953,-69.9999771118164,0.0,0.0,0.0,0.0,89.98419189453125,-191.55123901367188,72.00001525878906,0.0,0.0,0.0,0.0,89.98419189453125,-188.14358520507812,78.03120422363281,0.0,0.0,0.0,0.0,-173.68646240234375,-191.5531768798828,65.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.55511474609375,58.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.5766143798828,-19.99997901916504,0.0,0.0,0.0,0.0,89.98419189453125,-188.07386779785156,-9.999979972839355,0.0,0.0,0.0,0.0,-90.01578521728516
3,5.457382317632437,144,1.0,0.0,0.0,-195.0904083251953,-69.9999771118164,0.0,0.0,0.0,0.0,89.98419189453125,-191.55123901367188,72.00001525878906,0.0,0.0,0.0,0.0,89.98419189453125,-188.14358520507812,78.03120422363281,0.0,0.0,0.0,0.0,-173.68646240234375,-191.5531768798828,65.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.55511474609375,58.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.5766143798828,-19.99997901916504,0.0,0.0,0.0,0.0,89.98419189453125,-188.07386779785156,-9.999979972839355,0.0,0.0,0.0,0.0,-90.01578521728516
4,5.477382317185402,144,1.0,0.0,0.0,-195.0904083251953,-69.9999771118164,0.0,0.0,0.0,0.0,89.98419189453125,-191.55123901367188,72.00001525878906,0.0,0.0,0.0,0.0,89.98419189453125,-188.14358520507812,78.03120422363281,0.0,0.0,0.0,0.0,-173.68646240234375,-191.5531768798828,65.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.55511474609375,58.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.5766143798828,-19.99997901916504,0.0,0.0,0.0,0.0,89.98419189453125,-188.07386779785156,-9.999979972839355,0.0,0.0,0.0,0.0,-90.01578521728516
5,5.497382316738367,144,1.0,0.0,0.0,-195.0904083251953,-69.9999771118164,0.0,0.0,0.0,0.0,89.98419189453125,-191.55123901367188,72.00001525878906,0.0,0.0,0.0,0.0,89.98419189453125,-188.14358520507812,78.03120422363281,0.0,0.0,0.0,0.0,-173.68646240234375,-191.5531768798828,65.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.55511474609375,58.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.5766143798828,-19.99997901916504,0.0,0.0,0.0,0.0,89.98419189453125,-188.07386779785156,-9.999979972839355,0.0,0.0,0.0,0.0,-90.01578521728516
6,5.517382316291332,144,1.0,0.0,0.0,-195.0904083251953,-69.9999771118164,0.0,0.0,0.0,0.0,89.98419189453125,-191.55123901367188,72.00001525878906,0.0,0.0,0.0,0.0,89.98419189453125,-188.14358520507812,78.03120422363281,0.0,0.0,0.0,0.0,-173.68646240234375,-191.5531768798828,65.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.55511474609375,58.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.5766143798828,-19.99997901916504,0.0,0.0,0.0,0.0,89.98419189453125,-188.07386779785156,-9.999979972839355,0.0,0.0,0.0,0.0,-90.01578521728516
7,5.537382315844297,144,1.0,0.0,0.0,-195.0904083251953,-69.9999771118164,0.0,0.0,0.0,0.0,89.98419189453125,-191.55123901367188,72.00001525878906,0.0,0.0,0.0,0.0,89.98419189453125,-188.14358520507812,78.03120422363281,0.0,0.0,0.0,0.0,-173.68646240234375,-191.5531768798828,65.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.55511474609375,58.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.5766143798828,-19.99997901916504,0.0,0.0,0.0,0.0,89.98419189453125,-188.07386779785156,-9.999979972839355,0.0,0.0,0.0,0.0,-90.01578521728516
8,5.557382315397263,144,1.0,0.0,0.0,-195.0904083251953,-69.9999771118164,0.0,0.0,0.0,0.0,89.98419189453125,-191.55123901367188,72.00001525878906,0.0,0.0,0.0,0.0,89.98419189453125,-188.14358520507812,78.03120422363281,0.0,0.0,0.0,0.0,-173.68646240234375,-191.5531768798828,65.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.55511474609375,58.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.5766143798828,-19.99997901916504,0.0,0.0,0.0,0.0,89.98419189453125,-188.07386779785156,-9.999979972839355,0.0,0.0,0.0,0.0,-90.01578521728516
9,5.577382314950228,144,1.0,0.0,0.0,-195.0904083251953,-69.9999771118164,0.0,0.0,0.0,0.0,89.98419189453125,-191.55123901367188,72.00001525878906,0.0,0.0,0.0,0.0,89.98419189453125,-188.14358520507812,78.03120422363281,0.0,0.0,0.0,0.0,-173.68646240234375,-191.5531768798828,65.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.55511474609375,58.00000762939453,0.0,0.0,0.0,0.0,89.98419189453125,-191.5766143798828,-19.99997901916504,0.0,0.0,0.0,0.0,89.98419189453125,-188.07386779785156,-9.999979972839355,0.0,0.0,0.0,0.0,-90.01578521728516
